account,date,closedPnL,size,num_trades,win_rate,long_short_ratio,Classification,frequency_group,profit_label
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-05,0.0,2.8804833333333337,6,0.0,0.0,Extreme Greed,Infrequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-07,0.0,5.7646999999999995,14,0.0,25.0,Extreme Greed,Infrequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-08,-108604.496278,4.6883875,72,0.0,0.8823529411764706,Extreme Greed,Frequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-09,0.0,14.7408,1,0.0,7.75,Extreme Greed,Infrequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-11,2259.351364,0.24145,26,0.5,0.5416666666666666,Extreme Greed,Frequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-12,291.35271,0.2093730769230769,13,0.23076923076923078,0.42857142857142855,Extreme Greed,Infrequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-04,4444.4983010000005,5.27373,10,0.7,0.20238095238095238,Greed,Infrequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-05,0.0,1.9072,4,0.0,0.16666666666666666,Greed,Infrequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-07,0.0,4.59095,20,0.0,32.0,Greed,Infrequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-08,-4779.219012,5.023394117647059,17,0.0,1.025,Greed,Infrequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-10,5767.161892,0.2700588888888889,36,0.6666666666666666,0.3103448275862069,Greed,Frequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-11,678.4759280000001,0.296249,10,0.5,0.8333333333333334,Neutral,Infrequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-12,1435.68724,0.40217526315789476,19,0.10526315789473684,0.7245283018867924,Greed,Infrequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-04,236.33513399999998,1.28005,16,0.25,0.0,Greed,Infrequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-05,968.59038,7.342155555555554,9,0.4444444444444444,4.0,Extreme Greed,Infrequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-09,0.0,3.908275,4,0.0,0.10256410256410256,Extreme Greed,Infrequent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-10,130.487079,0.2190022727272727,22,0.22727272727272727,0.35294117647058826,Greed,Frequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-11,2821.24842,0.13947500000000002,12,0.5833333333333334,0.6,Greed,Infrequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-12,7206.315268,0.25406254237288134,59,0.3559322033898305,1.0301507537688441,Greed,Frequent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-04,0.0,0.6396869565217391,23,0.0,0.0,Fear,Frequent,0
